29/08/26 11:50,10,6,23,15
29/08/26 12:00,10,12,17,9
29/08/26 12:10,10,16,21,18
29/08/26 12:20,10,2,15,9
29/08/26 12:30,10,9,15,2
29/08/26 12:40,10,9,18,8
29/08/26 12:50,10,5,16,5
29/08/26 13:00,10,13,21,9
29/08/26 13:10,10,9,22,12
29/08/26 13:20,10,4,17,15
29/08/26 13:30,10,7,7,7
29/08/26 13:40,10,8,8,7
29/08/26 13:50,10,7,8,8
29/08/26 14:00,10,7,11,8
29/08/26 14:10,10,11,7,13
29/08/26 14:20,10,10,13,6
29/08/26 14:30,10,11,8,13
29/08/26 14:40,10,7,8,12
29/08/26 14:50,10,3,2,5
29/08/26 15:00,10,7,4,7
29/08/26 15:10,10,7,6,5
29/08/26 15:20,10,5,6,7
29/08/26 15:30,10,6,7,8
29/08/26 15:40,10,14,6,10
29/08/26 15:50,10,8,7,10
29/08/26 16:00,10,12,11,5
29/08/26 16:10,10,12,12,17
29/08/26 16:20,10,6,7,7
29/08/26 16:30,10,6,7,4
29/08/26 16:40,10,8,12,7
29/08/26 16:50,10,4,10,6
29/08/26 17:00,10,6,10,2
29/08/26 17:10,10,3,11,3
29/08/26 17:20,10,5,11,7
29/08/26 17:30,10,10,9,14
29/08/26 17:40,10,4,7,3
29/08/26 17:50,10,7,6,11
29/08/26 18:00,10,8,6,6
29/08/26 18:10,10,8,7,9
29/08/26 18:20,10,5,6,2
29/08/26 18:30,10,5,8,8
29/08/26 18:40,10,6,4,10
29/08/26 18:50,10,1,1,6
29/08/26 18:56,12,,
29/08/26 19:00,10,3,2,3
29/08/26 19:10,10,0,2,9
29/08/26 19:20,10,0,0,0
29/08/26 19:30,10,0,0,0
29/08/26 19:40,10,0,0,0
29/08/26 19:50,10,0,0,0
29/08/26 20:00,10,0,0,0
30/08/26 08:00,14,,
30/08/26 08:00,12,,
30/08/26 08:01,28,27,
30/08/26 08:10,10,0,0,0
30/08/26 08:20,10,0,0,0
30/08/26 08:30,10,0,0,0
30/08/26 08:40,10,1,1,0
30/08/26 08:50,10,0,1,1
30/08/26 09:00,10,1,1,0
30/08/26 09:10,10,0,1,1
30/08/26 09:20,10,0,0,0
30/08/26 09:30,10,1,1,0
30/08/26 09:40,10,1,2,0
30/08/26 09:50,10,4,6,0
30/08/26 10:00,10,1,6,1
30/08/26 10:10,10,7,12,1
30/08/26 10:20,10,5,13,6
30/08/26 10:30,10,2,11,6
30/08/26 10:40,10,4,10,2
30/08/26 10:50,10,8,17,1
30/08/26 11:00,10,6,18,8
30/08/26 11:10,10,4,14,10
30/08/26 11:20,10,3,8,4
30/08/26 11:30,10,5,11,3
30/08/26 11:40,10,9,13,8
30/08/26 11:50,10,6,11,8
30/08/26 12:00,10,3,10,3
30/08/26 12:10,10,9,15,10
30/08/26 12:20,10,9,13,4
30/08/26 12:30,10,5,12,9
30/08/26 12:40,10,5,10,9
30/08/26 12:50,10,4,6,10
30/08/26 13:00,10,10,6,4
30/08/26 13:10,10,7,9,6
30/08/26 13:20,10,4,9,6
30/08/26 13:30,10,5,9,2
30/08/26 13:40,10,7,10,14
30/08/26 13:50,10,0,2,7
30/08/26 14:00,10,4,2,2
30/08/26 14:10,10,3,3,4
30/08/26 14:20,10,3,3,3
